Date,Open,High,Low,Close,Volume,Split,Source
2021-02-08,38886.828125,46203.929688,38076.324219,46196.464844,101467222687,real_test,yfinance
2021-02-09,46184.992188,48003.722656,45166.960938,46481.105469,91809846886,real_test,yfinance
2021-02-10,46469.761719,47145.566406,43881.152344,44918.183594,87301089896,real_test,yfinance
2021-02-11,44898.710938,48463.46875,44187.761719,47909.332031,81388911810,real_test,yfinance
2021-02-12,47877.035156,48745.734375,46424.976562,47504.851562,76555041196,real_test,yfinance
2021-02-13,47491.203125,48047.746094,46392.28125,47105.515625,70250456155,real_test,yfinance
2021-02-14,47114.507812,49487.640625,47114.507812,48717.289062,71248675228,real_test,yfinance
2021-02-15,48696.535156,48875.570312,46347.476562,47945.058594,77069903166,real_test,yfinance
2021-02-16,47944.457031,50341.101562,47201.304688,49199.871094,77049582886,real_test,yfinance
2021-02-17,49207.277344,52533.914062,49072.378906,52149.007812,80820545404,real_test,yfinance
2021-02-18,52140.972656,52474.105469,51015.765625,51679.796875,52054723579,real_test,yfinance
2021-02-19,51675.980469,56113.652344,50937.277344,55888.132812,63495496918,real_test,yfinance
2021-02-20,55887.335938,57505.226562,54626.558594,56099.519531,68145460026,real_test,yfinance
2021-02-21,56068.566406,58330.570312,55672.609375,57539.945312,51897585191,real_test,yfinance
2021-02-22,57532.738281,57533.390625,48967.566406,54207.320312,92052420332,real_test,yfinance
2021-02-23,54204.929688,54204.929688,45290.589844,48824.425781,106102492824,real_test,yfinance
2021-02-24,48835.085938,51290.136719,47213.5,49705.332031,63695521388,real_test,yfinance
2021-02-25,49709.082031,51948.96875,47093.851562,47093.851562,54506565949,real_test,yfinance
2021-02-26,47180.464844,48370.785156,44454.84375,46339.761719,350967941479,real_test,yfinance
2021-02-27,46344.773438,48253.269531,45269.027344,46188.453125,45910946382,real_test,yfinance
2021-02-28,46194.015625,46716.429688,43241.617188,45137.769531,53443887451,real_test,yfinance
2021-03-01,45159.503906,49784.015625,45115.09375,49631.242188,53891300112,real_test,yfinance
2021-03-02,49612.105469,50127.511719,47228.84375,48378.988281,47530897720,real_test,yfinance
2021-03-03,48415.816406,52535.136719,48274.320312,50538.242188,53220811975,real_test,yfinance
2021-03-04,50522.304688,51735.089844,47656.929688,48561.167969,52343816680,real_test,yfinance
2021-03-05,48527.03125,49396.429688,46542.515625,48927.304688,48625928883,real_test,yfinance
2021-03-06,48899.230469,49147.21875,47257.527344,48912.382812,34363564661,real_test,yfinance
2021-03-07,48918.679688,51384.367188,48918.679688,51206.691406,43137459378,real_test,yfinance
2021-03-08,51174.117188,52314.070312,49506.054688,52246.523438,48597428048,real_test,yfinance
2021-03-09,52272.96875,54824.117188,51981.832031,54824.117188,50912227385,real_test,yfinance
2021-03-10,54824.011719,57258.253906,53290.890625,56008.550781,57295577614,real_test,yfinance
2021-03-11,55963.179688,58091.0625,54484.59375,57805.121094,56772343595,real_test,yfinance
2021-03-12,57821.21875,57996.621094,55376.648438,57332.089844,55689944702,real_test,yfinance
2021-03-13,57343.371094,61683.863281,56217.972656,61243.085938,60669829814,real_test,yfinance
2021-03-14,61221.132812,61597.917969,59302.316406,59302.316406,43901225564,real_test,yfinance
2021-03-15,59267.429688,60540.992188,55393.164062,55907.199219,66419369890,real_test,yfinance
2021-03-16,55840.785156,56833.179688,53555.027344,56804.902344,59749798599,real_test,yfinance
2021-03-17,56825.828125,58969.816406,54528.628906,58870.894531,60258313191,real_test,yfinance
2021-03-18,58893.078125,60116.25,54253.578125,57858.921875,55746041000,real_test,yfinance
2021-03-19,57850.441406,59498.375,56643.703125,58346.652344,49063873786,real_test,yfinance
2021-03-20,58332.261719,60031.285156,58213.296875,58313.644531,50361731222,real_test,yfinance
2021-03-21,58309.914062,58767.898438,56005.617188,57523.421875,51943414539,real_test,yfinance
2021-03-22,57517.890625,58471.480469,54288.15625,54529.144531,56521454974,real_test,yfinance
2021-03-23,54511.660156,55985.441406,53470.695312,54738.945312,56435023914,real_test,yfinance
2021-03-24,54710.488281,57262.382812,52514.332031,52774.265625,70567223787,real_test,yfinance
2021-03-25,52726.746094,53392.386719,50856.570312,51704.160156,67999812841,real_test,yfinance
2021-03-26,51683.011719,55137.3125,51579.855469,55137.3125,56652197978,real_test,yfinance
2021-03-27,55137.566406,56568.214844,54242.910156,55973.511719,47266542233,real_test,yfinance
2021-03-28,55974.941406,56610.3125,55071.113281,55950.746094,47686580918,real_test,yfinance
2021-03-29,55947.898438,58342.097656,55139.339844,57750.199219,57625587027,real_test,yfinance
2021-03-30,57750.132812,59447.222656,57251.550781,58917.691406,54414116432,real_test,yfinance
2021-03-31,58930.277344,59930.027344,57726.417969,58918.832031,65520826225,real_test,yfinance
2021-04-01,58926.5625,59586.070312,58505.277344,59095.808594,61669163792,real_test,yfinance
2021-04-02,59098.878906,60267.1875,58869.28125,59384.3125,58727860620,real_test,yfinance
2021-04-03,59397.410156,60110.269531,57603.890625,57603.890625,59641344484,real_test,yfinance
2021-04-04,57604.839844,58913.746094,57168.675781,58758.554688,50749662970,real_test,yfinance
2021-04-05,58760.875,59891.296875,57694.824219,59057.878906,60706272115,real_test,yfinance
2021-04-06,59171.933594,59479.578125,57646.808594,58192.359375,66058027988,real_test,yfinance
2021-04-07,58186.507812,58731.144531,55604.023438,56048.9375,75645303584,real_test,yfinance
2021-04-08,56099.914062,58338.738281,55879.085938,58323.953125,53053855641,real_test,yfinance
2021-04-09,58326.5625,58937.046875,57807.863281,58245.003906,46655208546,real_test,yfinance
2021-04-10,58253.777344,61276.664062,58038.707031,59793.234375,58238470525,real_test,yfinance
2021-04-11,59846.230469,60790.554688,59289.796875,60204.964844,46280252580,real_test,yfinance
2021-04-12,60175.945312,61253.035156,59589.875,59893.453125,51828688519,real_test,yfinance
2021-04-13,59890.019531,63742.285156,59869.957031,63503.457031,69983454362,real_test,yfinance
2021-04-14,63523.753906,64863.097656,61554.796875,63109.695312,77451779687,real_test,yfinance
2021-04-15,63075.195312,63821.671875,62208.964844,63314.011719,60954381579,real_test,yfinance
2021-04-16,63258.503906,63594.722656,60222.53125,61572.789062,84293007468,real_test,yfinance
2021-04-17,61529.921875,62572.175781,60361.351562,60683.820312,66138759198,real_test,yfinance
2021-04-18,60701.886719,61057.457031,52829.535156,56216.183594,97468872758,real_test,yfinance
2021-04-19,56191.585938,57520.054688,54368.59375,55724.265625,65344865159,real_test,yfinance
2021-04-20,55681.792969,57062.148438,53448.046875,56473.03125,67849323955,real_test,yfinance
2021-04-21,56471.128906,56757.972656,53695.46875,53906.089844,54926612466,real_test,yfinance
2021-04-22,53857.105469,55410.230469,50583.8125,51762.273438,74798630778,real_test,yfinance
2021-04-23,51739.808594,52120.792969,47714.664062,51093.652344,86668667320,real_test,yfinance
2021-04-24,51143.226562,51167.5625,48805.285156,50050.867188,49014494781,real_test,yfinance
2021-04-25,50052.832031,50506.019531,47159.484375,49004.253906,46117114240,real_test,yfinance
2021-04-26,49077.792969,54288.003906,48852.796875,54021.753906,58284039825,real_test,yfinance
2021-04-27,54030.304688,55416.964844,53319.1875,55033.117188,49448222757,real_test,yfinance
2021-04-28,55036.636719,56227.207031,53887.917969,54824.703125,48000572955,real_test,yfinance
2021-04-29,54858.089844,55115.84375,52418.027344,53555.109375,46088929780,real_test,yfinance
2021-04-30,53568.664062,57900.71875,53129.601562,57750.175781,52395931985,real_test,yfinance
2021-05-01,57714.664062,58448.339844,57052.273438,57828.050781,42836427360,real_test,yfinance
2021-05-02,57825.863281,57902.59375,56141.90625,56631.078125,38177405335,real_test,yfinance
2021-05-03,56620.273438,58973.308594,56590.871094,57200.292969,51713139031,real_test,yfinance
2021-05-04,57214.179688,57214.179688,53191.425781,53333.539062,68564706967,real_test,yfinance
2021-05-05,53252.164062,57911.363281,52969.054688,57424.007812,69241316747,real_test,yfinance
2021-05-06,57441.308594,58363.316406,55382.507812,56396.515625,69523285106,real_test,yfinance
2021-05-07,56413.953125,58606.632812,55321.847656,57356.402344,68434023376,real_test,yfinance
2021-05-08,57352.765625,59464.613281,56975.210938,58803.777344,65382980634,real_test,yfinance
2021-05-09,58877.390625,59210.882812,56482.003906,58232.316406,65906690347,real_test,yfinance
2021-05-10,58250.871094,59519.355469,54071.457031,55859.796875,71776546298,real_test,yfinance
2021-05-11,55847.242188,56872.542969,54608.652344,56704.574219,61308396325,real_test,yfinance
2021-05-12,56714.53125,57939.363281,49150.535156,49150.535156,75215403907,real_test,yfinance
2021-05-13,49735.433594,51330.84375,46980.019531,49716.191406,96721152926,real_test,yfinance
2021-05-14,49682.980469,51438.117188,48868.578125,49880.535156,55737497453,real_test,yfinance
2021-05-15,49855.496094,50639.664062,46664.140625,46760.1875,59161047474,real_test,yfinance
2021-05-16,46716.636719,49720.042969,43963.351562,46456.058594,64047871555,real_test,yfinance
2021-05-17,46415.898438,46623.558594,42207.289062,43537.511719,74903638450,real_test,yfinance
2021-05-18,43488.058594,45812.457031,42367.832031,42909.402344,56187365084,real_test,yfinance
2021-05-19,42944.976562,43546.117188,30681.496094,37002.441406,126358098747,real_test,yfinance
2021-05-20,36753.667969,42462.984375,35050.617188,40782.738281,88281943359,real_test,yfinance
2021-05-21,40596.949219,42172.171875,33616.453125,37304.691406,82051616861,real_test,yfinance
2021-05-22,37371.03125,38831.054688,35383.683594,37536.632812,57377273240,real_test,yfinance
2021-05-23,37531.449219,38289.21875,31227.339844,34770.582031,78469274361,real_test,yfinance
2021-05-24,34700.363281,39835.140625,34551.082031,38705.980469,67359584098,real_test,yfinance
2021-05-25,38795.78125,39776.351562,36581.429688,38402.222656,56211915803,real_test,yfinance
2021-05-26,38392.625,40782.078125,37905.835938,39294.199219,51346735160,real_test,yfinance
2021-05-27,39316.890625,40379.617188,37247.902344,38436.96875,43210968721,real_test,yfinance
2021-05-28,38507.082031,38856.96875,34779.039062,35697.605469,55200191952,real_test,yfinance
2021-05-29,35684.15625,37234.5,33693.929688,34616.066406,45231013335,real_test,yfinance
2021-05-30,34607.40625,36400.667969,33520.738281,35678.128906,31646080921,real_test,yfinance
2021-05-31,35658.59375,37468.25,34241.945312,37332.855469,39009847639,real_test,yfinance
2021-06-01,37293.792969,37896.734375,35787.085938,36684.925781,34639423297,real_test,yfinance
2021-06-02,36699.921875,38231.339844,35966.308594,37575.179688,33070867190,real_test,yfinance
2021-06-03,37599.410156,39478.953125,37243.972656,39208.765625,35460750427,real_test,yfinance
2021-06-04,39242.484375,39242.484375,35717.722656,36894.40625,41831090187,real_test,yfinance
2021-06-05,36880.15625,37917.714844,34900.414062,35551.957031,35959473399,real_test,yfinance
2021-06-06,35538.609375,36436.421875,35304.578125,35862.378906,28913440585,real_test,yfinance
2021-06-07,35835.265625,36790.570312,33480.640625,33560.707031,33683936663,real_test,yfinance
2021-06-08,33589.519531,34017.386719,31114.443359,33472.632812,49902050442,real_test,yfinance
2021-06-09,33416.976562,37537.371094,32475.865234,37345.121094,53972919008,real_test,yfinance
2021-06-10,37389.515625,38334.324219,35847.59375,36702.597656,43576032854,real_test,yfinance
2021-06-11,36697.03125,37608.695312,36044.449219,37334.398438,38699736985,real_test,yfinance
2021-06-12,37340.144531,37408.925781,34728.191406,35552.515625,37924228550,real_test,yfinance
2021-06-13,35555.789062,39322.78125,34864.109375,39097.859375,40669112838,real_test,yfinance
2021-06-14,39016.96875,40978.363281,38757.285156,40218.476562,43148914673,real_test,yfinance
2021-06-15,40427.167969,41295.269531,39609.46875,40406.269531,46420149185,real_test,yfinance
2021-06-16,40168.691406,40516.777344,38176.035156,38347.0625,39211635100,real_test,yfinance
2021-06-17,38341.421875,39513.671875,37439.675781,38053.503906,37096670047,real_test,yfinance
2021-06-18,38099.476562,38187.261719,35255.855469,35787.246094,36200887275,real_test,yfinance
2021-06-19,35854.527344,36457.796875,34933.0625,35615.871094,31207279719,real_test,yfinance
2021-06-20,35563.140625,36059.484375,33432.074219,35698.296875,36664034054,real_test,yfinance
2021-06-21,35641.144531,35721.640625,31295.935547,31676.693359,52809038594,real_test,yfinance
2021-06-22,31622.376953,33292.453125,28893.621094,32505.660156,58964353058,real_test,yfinance
2021-06-23,32515.714844,34753.410156,31772.632812,33723.027344,46317108925,real_test,yfinance
2021-06-24,33682.800781,35228.851562,32385.214844,34662.4375,33123368116,real_test,yfinance
2021-06-25,34659.105469,35487.246094,31350.884766,31637.779297,40230904226,real_test,yfinance
2021-06-26,31594.664062,32637.587891,30184.501953,32186.277344,38585385521,real_test,yfinance
2021-06-27,32287.523438,34656.128906,32071.757812,34649.644531,35511640894,real_test,yfinance
2021-06-28,34679.121094,35219.890625,33902.074219,34434.335938,33892523752,real_test,yfinance
2021-06-29,34475.558594,36542.109375,34252.484375,35867.777344,37901460044,real_test,yfinance
2021-06-30,35908.386719,36074.757812,34086.152344,35040.835938,34059036099,real_test,yfinance
2021-07-01,35035.984375,35035.984375,32883.78125,33572.117188,37838957079,real_test,yfinance
2021-07-02,33549.601562,33939.589844,32770.679688,33897.046875,38728974942,real_test,yfinance
2021-07-03,33854.421875,34909.261719,33402.695312,34668.546875,24383958643,real_test,yfinance
2021-07-04,34665.566406,35937.566406,34396.476562,35287.78125,24924307911,real_test,yfinance
2021-07-05,35284.34375,35284.34375,33213.660156,33746.003906,26721554282,real_test,yfinance
2021-07-06,33723.507812,35038.535156,33599.917969,34235.195312,26501259870,real_test,yfinance
2021-07-07,34225.679688,34997.664062,33839.289062,33855.328125,24796027477,real_test,yfinance
2021-07-08,33889.605469,33907.90625,32133.183594,32877.371094,29910396946,real_test,yfinance
2021-07-09,32861.671875,34042.292969,32318.880859,33798.011719,27436021028,real_test,yfinance
2021-07-10,33811.242188,34209.070312,33116.011719,33520.519531,22971873468,real_test,yfinance
2021-07-11,33509.078125,34584.703125,33346.738281,34240.1875,20108729370,real_test,yfinance
2021-07-12,34254.015625,34592.15625,32697.308594,33155.847656,24321499537,real_test,yfinance
2021-07-13,33125.46875,33327.101562,32261.419922,32702.025391,19120856669,real_test,yfinance
2021-07-14,32723.845703,33061.398438,31639.125,32822.347656,21376531210,real_test,yfinance
2021-07-15,32827.875,33159.640625,31175.708984,31780.730469,21300524237,real_test,yfinance
2021-07-16,31841.550781,32218.40625,31100.673828,31421.539062,23699476918,real_test,yfinance
2021-07-17,31397.308594,31935.945312,31223.990234,31533.068359,18895018942,real_test,yfinance
2021-07-18,31533.884766,32398.996094,31215.492188,31796.810547,18787986667,real_test,yfinance
2021-07-19,31800.011719,31885.859375,30563.734375,30817.832031,20434789545,real_test,yfinance
2021-07-20,30838.285156,31006.1875,29360.955078,29807.347656,23148267245,real_test,yfinance
2021-07-21,29796.285156,32752.326172,29526.183594,32110.693359,28203024559,real_test,yfinance
2021-07-22,32138.873047,32576.400391,31745.298828,32313.105469,19555230518,real_test,yfinance
2021-07-23,32305.958984,33581.550781,32057.892578,33581.550781,22552046192,real_test,yfinance
2021-07-24,33593.730469,34490.390625,33424.859375,34292.445312,21664706865,real_test,yfinance
2021-07-25,34290.292969,35364.925781,33881.835938,35350.1875,20856685287,real_test,yfinance
2021-07-26,35384.03125,40499.675781,35287.3125,37337.535156,51022126212,real_test,yfinance
2021-07-27,37276.035156,39406.941406,36441.726562,39406.941406,35097370560,real_test,yfinance
2021-07-28,39503.1875,40816.070312,38862.4375,39995.90625,38702404695,real_test,yfinance
2021-07-29,39995.453125,40593.070312,39352.058594,40008.421875,27167146027,real_test,yfinance
2021-07-30,40027.484375,42235.546875,38397.355469,42235.546875,33072782960,real_test,yfinance
2021-07-31,42196.304688,42231.449219,41110.832031,41626.195312,25802845343,real_test,yfinance
2021-08-01,41460.84375,42541.679688,39540.941406,39974.894531,26688438115,real_test,yfinance
2021-08-02,39907.261719,40419.179688,38746.347656,39201.945312,25595265436,real_test,yfinance
2021-08-03,39178.402344,39750.03125,37782.050781,38152.980469,26189830450,real_test,yfinance
2021-08-04,38213.332031,39952.296875,37589.164062,39747.503906,25372562724,real_test,yfinance
2021-08-05,39744.515625,41341.933594,37458.003906,40869.554688,35185031017,real_test,yfinance
2021-08-06,40865.867188,43271.660156,39932.179688,42816.5,38226483046,real_test,yfinance
2021-08-07,42832.796875,44689.859375,42618.566406,44555.800781,40030862141,real_test,yfinance
2021-08-08,44574.4375,45282.351562,43331.910156,43798.117188,36302664750,real_test,yfinance
2021-08-09,43791.925781,46456.832031,42848.6875,46365.402344,38734079049,real_test,yfinance
2021-08-10,46280.847656,46637.988281,44705.554688,45585.03125,33546019517,real_test,yfinance
2021-08-11,45599.703125,46735.632812,45351.710938,45593.636719,34319709073,real_test,yfinance
2021-08-12,45576.878906,46228.910156,43861.445312,44428.289062,33723620826,real_test,yfinance
2021-08-13,44439.691406,47831.976562,44282.417969,47793.320312,31744259539,real_test,yfinance
2021-08-14,47810.6875,48098.683594,46177.632812,47096.945312,31211354442,real_test,yfinance
2021-08-15,47096.667969,47357.105469,45579.589844,47047.003906,30988958446,real_test,yfinance
2021-08-16,47019.960938,47998.097656,45700.320312,46004.484375,32776876610,real_test,yfinance
2021-08-17,45936.457031,47139.570312,44512.417969,44695.359375,33451362600,real_test,yfinance
2021-08-18,44686.75,45952.0625,44364.027344,44801.1875,32194123075,real_test,yfinance
2021-08-19,44741.882812,46970.761719,43998.316406,46717.578125,37204312299,real_test,yfinance
2021-08-20,46723.121094,49342.152344,46650.707031,49339.175781,34706867452,real_test,yfinance
2021-08-21,49327.074219,49717.019531,48312.199219,48905.492188,40585205312,real_test,yfinance
2021-08-22,48869.105469,49471.609375,48199.941406,49321.652344,25370975378,real_test,yfinance
2021-08-23,49291.675781,50482.078125,49074.605469,49546.148438,34305053719,real_test,yfinance
2021-08-24,49562.347656,49878.769531,47687.117188,47706.117188,35361168834,real_test,yfinance
2021-08-25,47727.257812,49202.878906,47163.613281,48960.789062,32646349931,real_test,yfinance
2021-08-26,49002.640625,49347.582031,46405.78125,46942.21875,32666549568,real_test,yfinance
2021-08-27,46894.554688,49112.785156,46394.28125,49058.667969,34511076995,real_test,yfinance
2021-08-28,49072.585938,49283.503906,48499.238281,48902.402344,28568103401,real_test,yfinance
2021-08-29,48911.25,49644.113281,47925.855469,48829.832031,25889650240,real_test,yfinance
2021-08-30,48834.851562,48925.605469,46950.273438,47054.984375,31847007016,real_test,yfinance
2021-08-31,47024.339844,48189.550781,46750.09375,47166.6875,34730363427,real_test,yfinance
2021-09-01,47099.773438,49111.089844,46562.4375,48847.027344,39139399125,real_test,yfinance
2021-09-02,48807.847656,50343.421875,48652.320312,49327.722656,39508070319,real_test,yfinance
2021-09-03,49288.25,50982.273438,48386.085938,50025.375,43206179619,real_test,yfinance
2021-09-04,50009.324219,50545.582031,49548.78125,49944.625,37471327794,real_test,yfinance
2021-09-05,49937.859375,51868.679688,49538.597656,51753.410156,30322676319,real_test,yfinance
2021-09-06,51769.003906,52700.941406,51053.679688,52633.535156,38884105426,real_test,yfinance
2021-09-07,52660.480469,52853.765625,43285.207031,46811.128906,65210059683,real_test,yfinance
2021-09-08,46827.761719,47334.054688,44561.394531,46091.390625,49007762488,real_test,yfinance
2021-09-09,45774.742188,47261.949219,45669.738281,46391.421875,38672657013,real_test,yfinance
2021-09-10,46396.664062,47031.742188,44344.484375,44883.910156,39154666597,real_test,yfinance
2021-09-11,44869.839844,45969.292969,44818.265625,45201.457031,34499835245,real_test,yfinance
2021-09-12,45206.628906,46364.878906,44790.460938,46063.269531,27881980161,real_test,yfinance
2021-09-13,46057.214844,46598.679688,43591.320312,44963.074219,40969943253,real_test,yfinance
2021-09-14,44960.050781,47218.125,44752.332031,47092.492188,38652152880,real_test,yfinance
2021-09-15,47098.0,48450.46875,46773.328125,48176.347656,30484496466,real_test,yfinance
2021-09-16,48158.90625,48486.828125,47079.558594,47783.359375,31764293754,real_test,yfinance
2021-09-17,47771.003906,48160.921875,46832.523438,47267.519531,28727713711,real_test,yfinance
2021-09-18,47273.527344,48791.78125,47087.285156,48278.363281,28575630451,real_test,yfinance
2021-09-19,48268.855469,48328.367188,46919.804688,47260.21875,26967722648,real_test,yfinance
2021-09-20,47261.40625,47328.199219,42598.914062,42843.800781,43909845642,real_test,yfinance
2021-09-21,43012.234375,43607.609375,39787.609375,40693.675781,48701090088,real_test,yfinance
2021-09-22,40677.953125,43978.621094,40625.632812,43574.507812,38139709246,real_test,yfinance
2021-09-23,43560.296875,44942.175781,43109.339844,44895.097656,34244064430,real_test,yfinance
2021-09-24,44894.300781,45080.492188,40936.558594,42839.75,42839345714,real_test,yfinance
2021-09-25,42840.890625,42996.257812,41759.921875,42716.59375,31604717236,real_test,yfinance
2021-09-26,42721.628906,43919.300781,40848.460938,43208.539062,30661222077,real_test,yfinance
2021-09-27,43234.183594,44313.246094,42190.632812,42235.730469,30980029059,real_test,yfinance
2021-09-28,42200.898438,42775.144531,40931.664062,41034.542969,30214940550,real_test,yfinance
2021-09-29,41064.984375,42545.257812,40829.667969,41564.363281,30602359905,real_test,yfinance
2021-09-30,41551.269531,44092.601562,41444.582031,43790.894531,31141681925,real_test,yfinance
2021-10-01,43816.742188,48436.011719,43320.023438,48116.941406,42850641582,real_test,yfinance
2021-10-02,48137.46875,48282.0625,47465.496094,47711.488281,30614346492,real_test,yfinance
2021-10-03,47680.027344,49130.691406,47157.289062,48199.953125,26638115879,real_test,yfinance
2021-10-04,48208.90625,49456.777344,47045.003906,49112.902344,33383173002,real_test,yfinance
2021-10-05,49174.960938,51839.984375,49072.839844,51514.8125,35873904236,real_test,yfinance
2021-10-06,51486.664062,55568.464844,50488.191406,55361.449219,49034730168,real_test,yfinance
2021-10-07,55338.625,55338.625,53525.46875,53805.984375,36807860413,real_test,yfinance
2021-10-08,53802.144531,55922.980469,53688.054688,53967.847656,34800873924,real_test,yfinance
2021-10-09,53929.78125,55397.945312,53735.144531,54968.222656,32491211414,real_test,yfinance
2021-10-10,54952.820312,56401.304688,54264.257812,54771.578125,39527792364,real_test,yfinance
2021-10-11,54734.125,57793.039062,54519.765625,57484.789062,42637331698,real_test,yfinance
2021-10-12,57526.832031,57627.878906,54477.972656,56041.058594,41083758949,real_test,yfinance
2021-10-13,56038.257812,57688.660156,54370.972656,57401.097656,41684252783,real_test,yfinance
2021-10-14,57372.832031,58478.734375,56957.074219,57321.523438,36615791366,real_test,yfinance
2021-10-15,57345.902344,62757.128906,56868.144531,61593.949219,51780081801,real_test,yfinance
2021-10-16,61609.527344,62274.476562,60206.121094,60892.179688,34250964237,real_test,yfinance
2021-10-17,60887.652344,61645.523438,59164.46875,61553.617188,29032367511,real_test,yfinance
2021-10-18,61548.804688,62614.660156,60012.757812,62026.078125,38055562075,real_test,yfinance
2021-10-19,62043.164062,64434.535156,61622.933594,64261.992188,40471196346,real_test,yfinance
2021-10-20,64284.585938,66930.390625,63610.675781,65992.835938,40788955582,real_test,yfinance
2021-10-21,66002.234375,66600.546875,62117.410156,62210.171875,45908121370,real_test,yfinance
2021-10-22,62237.890625,63715.023438,60122.796875,60692.265625,38434082775,real_test,yfinance
2021-10-23,60694.628906,61743.878906,59826.523438,61393.617188,26882546034,real_test,yfinance
2021-10-24,61368.34375,61505.804688,59643.34375,60930.835938,27316183882,real_test,yfinance
2021-10-25,60893.925781,63729.324219,60691.800781,63039.824219,31064911614,real_test,yfinance
2021-10-26,63032.761719,63229.027344,59991.160156,60363.792969,34878965587,real_test,yfinance
2021-10-27,60352.0,61435.183594,58208.1875,58482.386719,43657076893,real_test,yfinance
2021-10-28,58470.730469,62128.632812,58206.917969,60622.136719,45257083247,real_test,yfinance
2021-10-29,60624.871094,62927.609375,60329.964844,62227.964844,36856881767,real_test,yfinance
2021-10-30,62239.363281,62330.144531,60918.386719,61888.832031,32157938616,real_test,yfinance
2021-10-31,61850.488281,62406.171875,60074.328125,61318.957031,32241199927,real_test,yfinance
2021-11-01,61320.449219,62419.003906,59695.183594,61004.40625,36150572843,real_test,yfinance
2021-11-02,60963.253906,64242.792969,60673.054688,63226.402344,37746665647,real_test,yfinance
2021-11-03,63254.335938,63516.9375,61184.238281,62970.046875,36124731509,real_test,yfinance
2021-11-04,62941.804688,63123.289062,60799.664062,61452.230469,32615846901,real_test,yfinance
2021-11-05,61460.078125,62541.46875,60844.609375,61125.675781,30605102446,real_test,yfinance
